Time,Velocity,GForce,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Apoapsis,Periapsis,OrbitalVelocity,
1,3,1.66,1.56,127.63,98.19,0,-0.1,85,0,175,
2,10,1.77,1.77,126.65,104.82,0,-0.1,97,0,175,
3,18,1.79,1.79,125.66,119.09,0,-0.1,123,0,176,
4,26,1.8,1.8,124.68,141.12,0,-0.1,162,0,178,
5,34,1.81,1.82,123.7,170.98,0,-0.1,216,0,181,
6,42,1.82,1.83,122.69,209.54,0.01,-0.1,286,0,185,
7,50,1.84,1.85,121.73,254.34,0.01,-0.1,367,0,190,
8,59,1.85,1.87,120.75,307.94,0.03,-0.1,465,0,195,
9,67,1.86,1.88,119.76,369.56,0.04,-0.1,578,0,201,
10,76,1.87,1.9,118.78,439.34,0.06,-0.1,706,0,207,
11,85,1.88,1.92,117.79,517.35,0.08,-0.1,851,0,212,
12,94,1.89,1.94,116.81,603.65,0.1,-0.1,1013,0,219,
13,104,1.91,1.96,115.83,698.28,0.13,-0.1,1189,0,226,
14,113,1.92,1.98,114.82,803.44,0.17,-0.1,1384,0,234,
15,123,1.91,2,113.86,912.77,0.2,-0.11,1588,0,241,
16,132,1.91,2.02,112.88,1032.74,0.25,-0.11,1816,0,248,
17,142,1.92,2.04,111.89,1161.31,0.29,-0.11,2062,0,256,
18,151,1.94,2.06,110.91,1298.61,0.35,-0.11,2324,0,263,
19,161,1.96,2.08,109.92,1444.71,0.4,-0.12,2605,0,272,
20,171,1.99,2.11,108.94,1599.56,0.46,-0.12,2903,0,281,
21,182,2,2.14,107.96,1763.31,0.53,-0.12,3216,0,290,
22,192,1.99,2.16,106.97,1935.97,0.6,-0.13,3552,0,299,
23,203,2,2.18,105.99,2117.56,0.68,-0.13,3908,0,308,
24,214,2.02,2.21,104.99,2312.1,0.76,-0.14,4290,0,318,
25,225,2.02,2.24,104,2511.78,0.85,-0.14,4672,0,328,
26,236,2.05,2.26,103.02,2720.23,0.95,-0.15,5073,0,339,
27,247,2.07,2.29,102.05,2933.16,1.06,-0.15,5493,0,350,
28,259,2.09,2.32,101.07,3159.33,1.17,-0.16,5940,0,361,
29,271,2.12,2.34,100.09,3394.57,1.29,-0.17,6405,0,373,
30,284,2.15,2.37,99.08,3643.85,1.42,-0.17,6899,0,386,
31,297,2.17,2.41,98.1,3897.43,1.57,-0.18,7402,0,400,
32,310,2.13,2.43,97.12,4159.92,1.72,-0.19,7914,0,413,
33,322,2.06,2.46,96.13,4430.81,1.88,-0.2,8426,0,425,
34,333,1.98,2.5,95.15,4709.36,2.05,-0.21,8929,0,437,
35,344,1.9,2.53,94.16,4994.76,2.23,-0.22,9421,0,448,
36,354,1.86,2.56,93.2,5280.41,2.42,-0.23,9897,0,459,
37,365,1.86,2.59,92.2,5583.58,2.62,-0.25,10396,0,470,
38,375,1.87,2.63,91.21,5886.5,2.83,-0.26,10895,0,481,
39,386,1.89,2.66,90.25,6188.82,3.05,-0.27,11394,0,492,
40,397,1.91,2.69,89.27,6502.91,3.28,-0.29,11914,0,504,
41,408,1.94,2.73,88.28,6822.69,3.52,-0.3,12449,0,516,
42,420,1.97,2.76,87.3,7148.24,3.77,-0.32,12998,0,528,
