Time,Velocity,GForce,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Apoapsis,Periapsis,OrbitalVelocity,
667,2074,0,1.56,16.34,83449.45,946.49,-14.36,83614,74893,2266,
668,2074,0,1.56,16.34,83449.76,946.63,-14.36,83614,74893,2266,
669,2074,0.49,1.56,16.34,83453.55,948.41,-14.35,83613,74893,2266,
670,2074,0,1.56,16.34,83457.34,950.23,-14.33,83613,74893,2266,
671,2074,0,1.56,16.34,83461.08,952.04,-14.32,83613,74893,2266,
672,2074,0,1.56,16.34,83464.8,953.86,-14.3,83613,74893,2266,
673,2074,0,1.56,16.34,83468.47,955.67,-14.29,83613,74893,2266,
674,2074,0,1.56,16.34,83472.07,957.49,-14.27,83613,74893,2266,
675,2074,0,1.56,16.34,83475.61,959.3,-14.26,83613,74893,2266,
676,2074,0,1.56,16.34,83479.1,961.11,-14.24,83613,74893,2266,
677,2074,0,1.56,16.34,83482.55,962.93,-14.23,83613,74893,2266,
678,2074,0,1.56,16.34,83485.95,964.74,-14.21,83613,74893,2266,
679,2074,0,1.56,16.34,83489.31,966.56,-14.2,83613,74893,2266,
680,2074,0,1.56,16.34,83492.62,968.37,-14.18,83613,74893,2266,
681,2074,0,1.56,16.34,83495.95,970.22,-14.16,83613,74893,2266,
682,2074,0,1.56,16.34,83499.09,972,-14.15,83613,74893,2266,
683,2073,0,1.56,16.34,83502.26,973.82,-14.13,83613,74893,2266,
684,2073,0,1.56,16.34,83505.38,975.63,-14.12,83613,74894,2266,
685,2073,0,1.56,16.34,83508.45,977.44,-14.1,83613,74894,2266,
686,2073,0,1.56,16.34,83511.53,979.29,-14.08,83612,74894,2266,
687,2073,0,1.56,16.34,83514.44,981.07,-14.06,83612,74894,2266,
688,2073,0,1.56,16.34,83517.37,982.89,-14.05,83612,74894,2266,
689,2073,0,1.56,16.34,83520.25,984.7,-14.03,83612,74894,2266,
690,2073,0,1.56,16.34,83523.09,986.51,-14.01,83612,74894,2266,
691,2073,0,1.56,16.34,83525.87,988.33,-13.99,83612,74894,2266,
692,2073,0,1.56,16.34,83528.61,990.14,-13.98,83612,74894,2266,
693,2073,0,1.56,16.34,83531.3,991.96,-13.96,83612,74894,2266,
694,2073,0,1.56,16.34,83533.99,993.81,-13.94,83612,74894,2266,
695,2073,0,1.56,16.34,83536.59,995.62,-13.92,83612,74894,2266,
696,2073,0,1.56,16.34,83539.08,997.4,-13.9,83612,74894,2266,
697,2073,0,1.56,16.34,83541.63,999.25,-13.88,83612,74894,2266,
698,2073,0,1.56,16.34,83544.04,1001.03,-13.87,83612,74894,2266,
699,2073,0,1.56,16.34,83546.44,1002.84,-13.85,83612,74894,2266,
700,2073,0,1.56,16.34,83548.84,1004.69,-13.83,83612,74894,2266,
701,2073,0,1.56,16.34,83551.15,1006.5,-13.81,83612,74894,2266,
702,2073,0,1.56,16.34,83553.41,1008.32,-13.79,83612,74894,2266,
703,2073,0,1.56,16.34,83555.62,1010.13,-13.77,83611,74894,2266,
704,2073,0,1.56,16.34,83557.79,1011.94,-13.75,83611,74894,2266,
705,2073,0,1.56,16.34,83559.9,1013.76,-13.73,83611,74894,2266,
706,2073,0,1.56,16.34,83561.97,1015.57,-13.71,83611,74894,2266,
707,2073,0,1.56,16.34,83563.99,1017.38,-13.69,83611,74894,2266,
708,2073,0,1.56,16.34,83565.96,1019.2,-13.67,83611,74894,2266,
709,2073,0,1.56,16.34,83567.89,1021.01,-13.65,83611,74894,2266,
710,2073,0,1.56,16.34,83569.76,1022.82,-13.63,83611,74894,2266,
711,2073,0,1.56,16.34,83571.59,1024.64,-13.61,83611,74894,2266,
712,2073,0,1.56,16.34,83573.37,1026.45,-13.59,83611,74894,2266,
713,2073,0,1.56,16.34,83575.1,1028.26,-13.56,83611,74894,2266,
714,2073,0,1.56,16.34,83576.79,1030.08,-13.54,83611,74894,2266,
715,2073,0,1.56,16.34,83578.42,1031.89,-13.52,83611,74894,2266,
716,2073,0,1.56,16.34,83580.01,1033.7,-13.5,83611,74894,2266,
717,2073,0,1.56,16.34,83581.55,1035.51,-13.48,83611,74894,2266,
718,2073,0,1.56,16.34,83583.04,1037.33,-13.46,83610,74894,2266,
719,2073,0,1.56,16.34,83584.48,1039.14,-13.44,83610,74894,2266,
720,2073,0,1.56,16.34,83585.88,1040.95,-13.41,83610,74894,2266,
721,2073,0,1.56,16.34,83587.23,1042.77,-13.39,83610,74894,2266,
