Time,Velocity,GForce,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Apoapsis,Periapsis,OrbitalVelocity,
31242682,859123,0,0.23,5.16,59042407232.05,0,-2.18,0,0,3185,
31242684,859123,0,0.23,5.16,59042406321.64,0,-2.18,0,0,3185,
31242686,859123,0,0.23,5.16,59042403286.92,0,-2.18,0,0,3185,
31242688,859123,0,0.23,5.16,59042400252.2,0,-2.18,0,0,3185,
31242690,859123,0,0.23,5.16,59042397217.48,0,-2.18,0,0,3185,
31242692,859123,0,0.23,5.16,59042394182.76,0,-2.18,0,0,3185,
31242694,859123,0,0.23,5.16,59042391148.04,0,-2.18,0,0,3185,
31242696,859123,0,0.23,5.16,59042388113.32,0,-2.18,0,0,3185,
31242698,859123,0,0.23,5.16,59042385078.6,0,-2.18,0,0,3185,
31242700,859123,0,0.23,5.16,59042382043.87,0,-2.18,0,0,3185,
31242702,859123,0,0.23,5.16,59042379009.15,0,-2.18,0,0,3185,
31242704,859123,0,0.23,5.16,59042375974.43,0,-2.18,0,0,3185,
31242706,859123,0,0.23,5.16,59042372939.7,0,-2.18,0,0,3185,
31242708,859123,0,0.23,5.16,59042369904.97,0,-2.18,0,0,3185,
31242710,859122,0,0.23,5.16,59042366870.25,0,-2.18,0,0,3185,
31242712,859122,0,0.23,5.16,59042363835.52,0,-2.18,0,0,3185,
31242714,859122,0,0.23,5.16,59042360800.79,0,-2.18,0,0,3185,
31242716,859122,0,0.23,5.16,59042357766.06,0,-2.18,0,0,3185,
31242718,859122,0,0.23,5.16,59042354731.33,0,-2.18,0,0,3185,
31242720,859122,0,0.23,5.16,59042351696.6,0,-2.18,0,0,3185,
31242722,859122,0,0.23,5.16,59042348661.87,0,-2.18,0,0,3185,
31242724,859122,0,0.23,5.16,59042345627.14,0,-2.18,0,0,3185,
31242726,859122,0,0.23,5.16,59042342592.4,0,-2.18,0,0,3185,
31242728,859122,0,0.23,5.16,59042339557.67,0,-2.18,0,0,3185,
31242730,859122,0,0.23,5.16,59042336522.93,0,-2.18,0,0,3185,
31242732,859122,0,0.23,5.16,59042333488.2,0,-2.18,0,0,3185,
31242734,859122,0,0.23,5.16,59042330453.46,0,-2.18,0,0,3185,
31242736,859122,0,0.23,5.16,59042327418.72,0,-2.18,0,0,3185,
31242738,859122,0,0.23,5.16,59042324383.98,0,-2.18,0,0,3185,
31242740,859122,0,0.23,5.16,59042321349.25,0,-2.18,0,0,3185,
31242742,859122,0,0.23,5.16,59042318314.51,0,-2.18,0,0,3185,
31242744,859122,0,0.23,5.16,59042315279.76,0,-2.18,0,0,3185,
31242746,859122,0,0.23,5.16,59042312245.02,0,-2.18,0,0,3185,
31242748,859122,0,0.23,5.16,59042309210.28,0,-2.18,0,0,3185,
31242750,859122,0,0.23,5.16,59042306175.54,0,-2.18,0,0,3185,
31242752,859122,0,0.23,5.16,59042303140.79,0,-2.18,0,0,3185,
31242754,859122,0,0.23,5.16,59042300106.05,0,-2.18,0,0,3185,
31242756,859122,0,0.23,5.16,59042297071.3,0,-2.18,0,0,3185,
31242758,859121,0,0.23,5.16,59042294036.56,0,-2.18,0,0,3185,
31242760,859121,0,0.23,5.16,59042291001.81,0,-2.18,0,0,3185,
31242762,859121,0,0.23,5.16,59042287967.06,0,-2.18,0,0,3185,
31242764,859121,0,0.23,5.16,59042284932.31,0,-2.18,0,0,3185,
31242766,859121,0,0.23,5.16,59042281897.56,0,-2.18,0,0,3185,
31242768,859121,0,0.23,5.16,59042278862.81,0,-2.18,0,0,3185,
31242770,859121,0,0.23,5.16,59042275828.06,0,-2.18,0,0,3185,
31242772,859121,0,0.23,5.16,59042272793.31,0,-2.18,0,0,3185,
31242774,859121,0,0.23,5.16,59042269758.56,0,-2.18,0,0,3185,
31242776,859121,0,0.23,5.16,59042266723.8,0,-2.18,0,0,3185,
31242778,859121,0,0.23,5.16,59042263689.05,0,-2.18,0,0,3185,
31242780,859121,0,0.23,5.16,59042260654.29,0,-2.18,0,0,3185,
31242782,859121,0,0.23,5.16,59042257619.54,0,-2.18,0,0,3185,
31242784,859121,0,0.23,5.16,59042254584.78,0,-2.18,0,0,3185,
31242786,859121,0,0.23,5.16,59042251550.02,0,-2.18,0,0,3185,
31242788,859121,0,0.23,5.16,59042248515.27,0,-2.18,0,0,3185,
31242790,859121,0,0.23,5.16,59042245480.51,0,-2.18,0,0,3185,
31242792,859121,0,0.23,5.16,59042242445.75,0,-2.18,0,0,3185,
31242794,859121,0,0.23,5.16,59042239410.99,0,-2.18,0,0,3185,
31242796,859121,0,0.23,5.16,59042236376.22,0,-2.18,0,0,3185,
31242798,859121,0,0.23,5.16,59042233341.46,0,-2.18,0,0,3185,
31242800,859120,0,0.23,5.16,59042230306.7,0,-2.18,0,0,3185,
31242802,859120,0,0.23,5.16,59042227271.93,0,-2.18,0,0,3185,
31242804,859120,0,0.23,5.16,59042224237.17,0,-2.18,0,0,3185,
31242806,859120,0,0.23,5.16,59042221202.4,0,-2.18,0,0,3185,
31242808,859120,0,0.23,5.16,59042218167.64,0,-2.18,0,0,3185,
31242810,859120,0,0.23,5.16,59042215132.87,0,-2.18,0,0,3185,
31242812,859120,0,0.23,5.16,59042212098.1,0,-2.18,0,0,3185,
31242814,859120,0,0.23,5.16,59042209063.33,0,-2.18,0,0,3185,
31242816,859120,0,0.23,5.16,59042206028.56,0,-2.18,0,0,3185,
31242818,859120,0,0.23,5.16,59042202993.79,0,-2.18,0,0,3185,
31242820,859120,0,0.23,5.16,59042199959.02,0,-2.18,0,0,3185,
31242822,859120,0,0.23,5.16,59042196924.25,0,-2.18,0,0,3185,
31242824,859120,0,0.23,5.16,59042193889.48,0,-2.18,0,0,3185,
31242826,859120,0,0.23,5.16,59042190854.7,0,-2.18,0,0,3185,
31242828,859120,0,0.23,5.16,59042187819.93,0,-2.18,0,0,3185,
31242830,859120,0,0.23,5.16,59042184785.15,0,-2.18,0,0,3185,
