Time,Velocity,GForce,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Apoapsis,Periapsis,OrbitalVelocity,
31242682,859123,0,0.23,5.16,59042408354.9,0,-2.18,0,0,3185,
31242684,859123,0,0.23,5.16,59042406351.98,0,-2.18,0,0,3185,
31242686,859123,0,0.23,5.16,59042403317.27,0,-2.18,0,0,3185,
31242688,859123,0,0.23,5.16,59042400282.55,0,-2.18,0,0,3185,
31242690,859123,0,0.23,5.16,59042397247.83,0,-2.18,0,0,3185,
31242692,859123,0,0.23,5.16,59042394213.11,0,-2.18,0,0,3185,
31242694,859123,0,0.23,5.16,59042391178.39,0,-2.18,0,0,3185,
31242696,859123,0,0.23,5.16,59042388143.67,0,-2.18,0,0,3185,
31242698,859123,0,0.23,5.16,59042385108.94,0,-2.18,0,0,3185,
31242700,859123,0,0.23,5.16,59042382074.22,0,-2.18,0,0,3185,
31242702,859123,0,0.23,5.16,59042379039.5,0,-2.18,0,0,3185,
31242704,859123,0,0.23,5.16,59042376004.77,0,-2.18,0,0,3185,
31242706,859123,0,0.23,5.16,59042372970.05,0,-2.18,0,0,3185,
31242708,859123,0,0.23,5.16,59042369935.32,0,-2.18,0,0,3185,
31242710,859122,0,0.23,5.16,59042366900.59,0,-2.18,0,0,3185,
31242712,859122,0,0.23,5.16,59042363865.87,0,-2.18,0,0,3185,
31242714,859122,0,0.23,5.16,59042360831.14,0,-2.18,0,0,3185,
31242716,859122,0,0.23,5.16,59042357796.41,0,-2.18,0,0,3185,
31242718,859122,0,0.23,5.16,59042354761.68,0,-2.18,0,0,3185,
31242720,859122,0,0.23,5.16,59042351726.95,0,-2.18,0,0,3185,
31242722,859122,0,0.23,5.16,59042348692.22,0,-2.18,0,0,3185,
31242724,859122,0,0.23,5.16,59042345657.48,0,-2.18,0,0,3185,
31242726,859122,0,0.23,5.16,59042342622.75,0,-2.18,0,0,3185,
31242728,859122,0,0.23,5.16,59042339588.02,0,-2.18,0,0,3185,
31242730,859122,0,0.23,5.16,59042336553.28,0,-2.18,0,0,3185,
31242732,859122,0,0.23,5.16,59042333518.54,0,-2.18,0,0,3185,
31242734,859122,0,0.23,5.16,59042330483.81,0,-2.18,0,0,3185,
31242736,859122,0,0.23,5.16,59042327449.07,0,-2.18,0,0,3185,
31242738,859122,0,0.23,5.16,59042324414.33,0,-2.18,0,0,3185,
31242740,859122,0,0.23,5.16,59042321379.59,0,-2.18,0,0,3185,
31242742,859122,0,0.23,5.16,59042318344.85,0,-2.18,0,0,3185,
31242744,859122,0,0.23,5.16,59042315310.11,0,-2.18,0,0,3185,
31242746,859122,0,0.23,5.16,59042312275.37,0,-2.18,0,0,3185,
31242748,859122,0,0.23,5.16,59042309240.63,0,-2.18,0,0,3185,
31242750,859122,0,0.23,5.16,59042306205.89,0,-2.18,0,0,3185,
31242752,859122,0,0.23,5.16,59042303171.14,0,-2.18,0,0,3185,
31242754,859122,0,0.23,5.16,59042300136.4,0,-2.18,0,0,3185,
31242756,859122,0,0.23,5.16,59042297101.65,0,-2.18,0,0,3185,
